'3', 'présent', 'indicatif', '1', 'abattre', '0'
'3', 'présent', 'indicatif', '2', 'abattre', '0'
'3', 'présent', 'indicatif', '3', 'abattre', '0'
'3', 'présent', 'indicatif', '4', 'abattre', '0'
'3', 'présent', 'indicatif', '5', 'abattre', '0'
'3', 'présent', 'indicatif', '6', 'abattre', '0'
'3', 'imparfait', 'indicatif', '1', 'abattre', '0'
'3', 'imparfait', 'indicatif', '2', 'abattre', '0'
'3', 'imparfait', 'indicatif', '3', 'abattre', '0'
'3', 'imparfait', 'indicatif', '4', 'abattre', '0'
'3', 'imparfait', 'indicatif', '5', 'abattre', '0'
'3', 'imparfait', 'indicatif', '6', 'abattre', '0'
'3', 'passé simple', 'indicatif', '1', 'abattre', '0'
'3', 'passé simple', 'indicatif', '2', 'abattre', '0'
'3', 'passé simple', 'indicatif', '3', 'abattre', '0'
'3', 'passé simple', 'indicatif', '4', 'abattre', '0'
'3', 'passé simple', 'indicatif', '5', 'abattre', '0'
'3', 'passé simple', 'indicatif', '6', 'abattre', '0'
'3', 'futur simple', 'indicatif', '1', 'abattre', '0'
'3', 'futur simple', 'indicatif', '2', 'abattre', '0'
'3', 'futur simple', 'indicatif', '3', 'abattre', '0'
'3', 'futur simple', 'indicatif', '4', 'abattre', '0'
'3', 'futur simple', 'indicatif', '5', 'abattre', '0'
'3', 'futur simple', 'indicatif', '6', 'abattre', '0'
'3', 'présent', 'conditionnel', '1', 'abattre', '0'
'3', 'présent', 'conditionnel', '2', 'abattre', '0'
'3', 'présent', 'conditionnel', '3', 'abattre', '0'
'3', 'présent', 'conditionnel', '4', 'abattre', '0'
'3', 'présent', 'conditionnel', '5', 'abattre', '0'
'3', 'présent', 'conditionnel', '6', 'abattre', '0'
'3', 'présent', 'subjonctif', '1', 'abattre', '0'
'3', 'présent', 'subjonctif', '2', 'abattre', '0'
'3', 'présent', 'subjonctif', '3', 'abattre', '0'
'3', 'présent', 'subjonctif', '4', 'abattre', '0'
'3', 'présent', 'subjonctif', '5', 'abattre', '0'
'3', 'présent', 'subjonctif', '6', 'abattre', '0'
'3', 'imparfait', 'subjonctif', '1', 'abattre', '0'
